Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Nature],[Observation Status],[Reporting Type],[Sex],[Units]
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","218","Ecuador","2002","0.02","2002","","","","","UNAIDS","","","50+","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","218","Ecuador","2002","0.13","2002","","","","","UNAIDS","","","ALLAGE","E","A","G","FEMALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","218","Ecuador","2002","0.28","2002","","","","","UNAIDS","","","ALLAGE","E","A","G","MALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","218","Ecuador","2002","0.20","2002","","","","","UNAIDS","","","ALLAGE","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","218","Ecuador","2002","0.28","2002","","","","","UNAIDS","","","15-24","E","A","G","FEMALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","218","Ecuador","2003","0.05","2003","","","","","UNAIDS","","","<15Y","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","218","Ecuador","2003","0.52","2003","","","","","UNAIDS","","","15-24","E","A","G","MALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","218","Ecuador","2003","0.40","2003","","","","","UNAIDS","","","15-24","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","218","Ecuador","2003","0.28","2003","","","","","UNAIDS","","","15-24","E","A","G","FEMALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","218","Ecuador","2003","0.22","2003","","","","","UNAIDS","","","15-49","E","A","G","FEMALE","PER_1000_UNINFECTED_POP"
